拍位置,Tick,テンポ,絶対時間
1.1.0,0,120.0,0.0
1.2.0,480,120.0,0.5
1.3.0,960,120.0,1.0
1.4.0,1440,120.0,1.5
2.1.0,1920,120.0,2.0
2.2.0,2400,120.0,2.5
2.3.0,2880,120.0,3.0
2.4.0,3360,120.0,3.5
3.1.0,3840,120.0,4.0
3.2.0,4320,120.0,4.5
3.3.0,4800,120.0,5.0
3.4.0,5280,120.0,5.5
4.1.0,5760,120.0,6.0
4.2.0,6240,120.0,6.5
4.3.0,6720,120.0,7.0
4.4.0,7200,120.0,7.5
5.1.0,7680,120.0,8.0
5.2.0,8160,120.0,8.5
5.3.0,8640,120.0,9.0
5.4.0,9120,120.0,9.5
6.1.0,9600,120.0,10.0
6.2.0,10080,120.0,10.5
6.3.0,10560,120.0,11.0
6.4.0,11040,120.0,11.5
7.1.0,11520,120.0,12.0
7.2.0,12000,120.0,12.5
7.3.0,12480,120.0,13.0
7.4.0,12960,120.0,13.5
8.1.0,13440,120.0,14.0
8.2.0,13920,120.0,14.5
8.3.0,14400,120.0,15.0
8.4.0,14880,120.0,15.5
9.1.0,15360,120.0,16.0
9.2.0,15840,120.0,16.5
9.3.0,16320,120.0,17.0
9.4.0,16800,120.0,17.5
10.1.0,17280,120.0,18.0
10.2.0,17760,120.0,18.5
10.3.0,18240,120.0,19.0
10.4.0,18720,120.0,19.5
11.1.0,19200,120.0,20.0
11.2.0,19680,120.0,20.5
11.3.0,20160,120.0,21.0
11.4.0,20640,120.0,21.5
12.1.0,21120,120.0,22.0
12.2.0,21600,120.0,22.5
12.3.0,22080,120.0,23.0
12.4.0,22560,120.0,23.5
13.1.0,23040,120.0,24.0
13.2.0,23520,120.0,24.5
13.3.0,24000,120.0,25.0
13.4.0,24480,120.0,25.5
14.1.0,24960,120.0,26.0
14.2.0,25440,120.0,26.5
14.3.0,25920,120.0,27.0
14.4.0,26400,120.0,27.5
15.1.0,26880,120.0,28.0
15.2.0,27360,120.0,28.5
15.3.0,27840,120.0,29.0
15.4.0,28320,120.0,29.5
16.1.0,28800,120.0,30.0
16.2.0,29280,120.0,30.5
16.3.0,29760,120.0,31.0
16.4.0,30240,120.0,31.5
17.1.0,30720,120.0,32.0
17.2.0,31200,120.0,32.5
17.3.0,31680,120.0,33.0
17.4.0,32160,120.0,33.5
18.1.0,32640,120.0,34.0
18.2.0,33120,120.0,34.5
